method,latent_mass_success,mean_mass,mean_set_size,singleton,full_set,seed,m,ncal,ntest,k,q_mass,alpha,delta,regime,sigma
random_rater_cp,0.99,0.9359820886210485,3.2823333333333333,0.049,0.0,2026086646,5,300,3000,5,0.5,0.1,0.05,mixed,0.8
naive_panel_cp,0.932,0.8293940468741904,2.619666666666667,0.18266666666666667,0.0,2026086646,5,300,3000,5,0.5,0.1,0.05,mixed,0.8
ptcp,1.0,0.9944486262009824,4.855,0.0,0.855,2026086646,5,300,3000,5,0.5,0.1,0.05,mixed,0.8
ptcp_randomized,1.0,0.9944486262009824,4.855,0.0,0.855,2026086646,5,300,3000,5,0.5,0.1,0.05,mixed,0.8
majority_cp,0.9736666666666667,0.9007000297188433,3.0356666666666667,0.093,0.0,2026086647,5,300,3000,5,0.5,0.1,0.05,mixed,0.8
random_rater_cp,0.9763333333333334,0.9074783691927945,3.078,0.08233333333333333,0.0,2026086647,5,300,3000,5,0.5,0.1,0.05,mixed,0.8
naive_panel_cp,0.955,0.8623245014131212,2.799,0.142,0.0,2026086647,5,300,3000,5,0.5,0.1,0.05,mixed,0.8
ptcp,1.0,0.9951361659925557,4.862,0.0,0.862,2026086647,5,300,3000,5,0.5,0.1,0.05,mixed,0.8
ptcp_randomized,1.0,0.9951361659925557,4.862,0.0,0.862,2026086647,5,300,3000,5,0.5,0.1,0.05,mixed,0.8
majority_cp,0.9766666666666667,0.9051821314611186,3.0716666666666668,0.08933333333333333,0.0,2026086648,5,300,3000,5,0.5,0.1,0.05,mixed,0.8
random_rater_cp,0.9796666666666667,0.9108938031124523,3.1086666666666667,0.082,0.0,2026086648,5,300,3000,5,0.5,0.1,0.05,mixed,0.8
naive_panel_cp,0.9393333333333334,0.8454238001817727,2.7536666666666667,0.15233333333333332,0.0,2026086648,5,300,3000,5,0.5,0.1,0.05,mixed,0.8
ptcp,1.0,0.9947495135075483,4.862,0.0,0.862,2026086648,5,300,3000,5,0.5,0.1,0.05,mixed,0.8
ptcp_randomized,1.0,0.9947495135075483,4.862,0.0,0.862,2026086648,5,300,3000,5,0.5,0.1,0.05,mixed,0.8
majority_cp,0.94,0.8407645209844589,2.701,0.15833333333333333,0.0,2026086649,5,300,3000,5,0.5,0.1,0.05,mixed,0.8
random_rater_cp,0.969,0.8974353298802529,3.0143333333333335,0.09766666666666667,0.0,2026086649,5,300,3000,5,0.5,0.1,0.05,mixed,0.8
naive_panel_cp,0.9076666666666666,0.7888986146431685,2.470666666666667,0.19566666666666666,0.0,2026086649,5,300,3000,5,0.5,0.1,0.05,mixed,0.8
ptcp,1.0,0.994283632572781,4.8566666666666665,0.0,0.8566666666666667,2026086649,5,300,3000,5,0.5,0.1,0.05,mixed,0.8
ptcp_randomized,1.0,0.994283632572781,4.8566666666666665,0.0,0.8566666666666667,2026086649,5,300,3000,5,0.5,0.1,0.05,mixed,0.8
majority_cp,0.963,0.8855775703969126,2.8823333333333334,0.12666666666666668,0.0,2026086650,5,300,3000,5,0.5,0.1,0.05,mixed,0.8
random_rater_cp,0.9673333333333334,0.8952606240278631,2.957666666666667,0.11066666666666666,0.0,2026086650,5,300,3000,5,0.5,0.1,0.05,mixed,0.8
naive_panel_cp,0.9513333333333334,0.864588098669999,2.7666666666666666,0.15333333333333332,0.0,2026086650,5,300,3000,5,0.5,0.1,0.05,mixed,0.8
ptcp,1.0,0.9945862125053709,4.853666666666666,0.0,0.8536666666666667,2026086650,5,300,3000,5,0.5,0.1,0.05,mixed,0.8
ptcp_randomized,1.0,0.9945862125053709,4.853666666666666,0.0,0.8536666666666667,2026086650,5,300,3000,5,0.5,0.1,0.05,mixed,0.8
majority_cp,0.9606666666666667,0.8835532341208769,2.9283333333333332,0.11333333333333333,0.0,2026086651,5,300,3000,5,0.5,0.1,0.05,mixed,0.8
random_rater_cp,0.972,0.9078590375355843,3.0796666666666668,0.08333333333333333,0.0,2026086651,5,300,3000,5,0.5,0.1,0.05,mixed,0.8
naive_panel_cp,0.9336666666666666,0.8332655083286766,2.654333333333333,0.16533333333333333,0.0,2026086651,5,300,3000,5,0.5,0.1,0.05,mixed,0.8
ptcp,1.0,0.9948771503958921,4.863333333333333,0.0,0.8633333333333333,2026086651,5,300,3000,5,0.5,0.1,0.05,mixed,0.8
ptcp_randomized,1.0,0.9948771503958921,4.863333333333333,0.0,0.8633333333333333,2026086651,5,300,3000,5,0.5,0.1,0.05,mixed,0.8
majority_cp,0.9473333333333334,0.8537393971343575,2.751333333333333,0.152,0.0,2026086652,5,300,3000,5,0.5,0.1,0.05,mixed,0.8
random_rater_cp,0.9746666666666667,0.8991343391533854,2.9856666666666665,0.10333333333333333,0.0,2026086652,5,300,3000,5,0.5,0.1,0.05,mixed,0.8
naive_panel_cp,0.9326666666666666,0.8277695668050716,2.6206666666666667,0.179,0.0,2026086652,5,300,3000,5,0.5,0.1,0.05,mixed,0.8
ptcp,1.0,0.9948955296759644,4.866,0.0,0.866,2026086652,5,300,3000,5,0.5,0.1,0.05,mixed,0.8
ptcp_randomized,1.0,0.9948955296759644,4.866,0.0,0.866,2026086652,5,300,3000,5,0.5,0.1,0.05,mixed,0.8
majority_cp,0.9506666666666667,0.8535275095333505,2.765,0.144,0.0,2026086653,5,300,3000,5,0.5,0.1,0.05,mixed,0.8
random_rater_cp,0.9813333333333333,0.9124397366362385,3.123666666666667,0.07833333333333334,0.0,2026086653,5,300,3000,5,0.5,0.1,0.05,mixed,0.8
naive_panel_cp,0.9423333333333334,0.8407337907345744,2.7023333333333333,0.15333333333333332,0.0,2026086653,5,300,3000,5,0.5,0.1,0.05,mixed,0.8
ptcp,1.0,0.9949839802797671,4.857333333333333,0.0,0.8573333333333333,2026086653,5,300,3000,5,0.5,0.1,0.05,mixed,0.8
ptcp_randomized,1.0,0.9949839802797671,4.857333333333333,0.0,0.8573333333333333,2026086653,5,300,3000,5,0.5,0.1,0.05,mixed,0.8
majority_cp,0.9323333333333333,0.840345314762911,2.7143333333333333,0.152,0.0,2026086654,5,300,3000,5,0.5,0.1,0.05,mixed,0.8
random_rater_cp,0.9626666666666667,0.8884626671222486,2.9403333333333332,0.11566666666666667,0.0,2026086654,5,300,3000,5,0.5,0.1,0.05,mixed,0.8
naive_panel_cp,0.9213333333333333,0.8207670568116294,2.6166666666666667,0.16866666666666666,0.0,2026086654,5,300,3000,5,0.5,0.1,0.05,mixed,0.8
ptcp,1.0,0.9948438835902325,4.859,0.0,0.859,2026086654,5,300,3000,5,0.5,0.1,0.05,mixed,0.8
ptcp_randomized,1.0,0.9948438835902325,4.859,0.0,0.859,2026086654,5,300,3000,5,0.5,0.1,0.05,mixed,0.8
majority_cp,0.9506666666666667,0.869993995305474,2.8646666666666665,0.123,0.0,2026086655,5,300,3000,5,0.5,0.1,0.05,mixed,0.8
random_rater_cp,0.9683333333333334,0.8962623582085054,3.0003333333333333,0.107,0.0,2026086655,5,300,3000,5,0.5,0.1,0.05,mixed,0.8
naive_panel_cp,0.9216666666666666,0.8179709504244329,2.6083333333333334,0.17033333333333334,0.0,2026086655,5,300,3000,5,0.5,0.1,0.05,mixed,0.8
ptcp,1.0,0.9949296975573867,4.845,0.0,0.845,2026086655,5,300,3000,5,0.5,0.1,0.05,mixed,0.8
ptcp_randomized,1.0,0.9949296975573867,4.845,0.0,0.845,2026086655,5,300,3000,5,0.5,0.1,0.05,mixed,0.8
majority_cp,0.9626666666666667,0.88019622385678,2.897666666666667,0.115,0.0,2026086656,5,300,3000,5,0.5,0.1,0.05,mixed,0.8
random_rater_cp,0.9913333333333333,0.9339627107047809,3.2866666666666666,0.045,0.0,2026086656,5,300,3000,5,0.5,0.1,0.05,mixed,0.8
naive_panel_cp,0.9353333333333333,0.8267062265605052,2.603,0.172,0.0,2026086656,5,300,3000,5,0.5,0.1,0.05,mixed,0.8
ptcp,1.0,0.9950771380444308,4.844666666666667,0.0,0.8446666666666667,2026086656,5,300,3000,5,0.5,0.1,0.05,mixed,0.8
ptcp_randomized,1.0,0.9950771380444308,4.844666666666667,0.0,0.8446666666666667,2026086656,5,300,3000,5,0.5,0.1,0.05,mixed,0.8
majority_cp,0.9673333333333334,0.8922648897550643,2.9883333333333333,0.11033333333333334,0.0,2026086657,5,300,3000,5,0.5,0.1,0.05,mixed,0.8
random_rater_cp,0.9733333333333334,0.9039203410993697,3.0563333333333333,0.09366666666666666,0.0,2026086657,5,300,3000,5,0.5,0.1,0.05,mixed,0.8
naive_panel_cp,0.931,0.8330207835770028,2.69,0.16033333333333333,0.0,2026086657,5,300,3000,5,0.5,0.1,0.05,mixed,0.8
ptcp,1.0,0.9949451262995137,4.854333333333333,0.0,0.8543333333333333,2026086657,5,300,3000,5,0.5,0.1,0.05,mixed,0.8
ptcp_randomized,1.0,0.9949451262995137,4.854333333333333,0.0,0.8543333333333333,2026086657,5,300,3000,5,0.5,0.1,0.05,mixed,0.8
majority_cp,0.9643333333333334,0.8874401208638681,2.922,0.11666666666666667,0.0,2026086658,5,300,3000,5,0.5,0.1,0.05,mixed,0.8
random_rater_cp,0.972,0.9025143291310576,3.011,0.10233333333333333,0.0,2026086658,5,300,3000,5,0.5,0.1,0.05,mixed,0.8
naive_panel_cp,0.9346666666666666,0.8335752171397459,2.6443333333333334,0.16366666666666665,0.0,2026086658,5,300,3000,5,0.5,0.1,0.05,mixed,0.8
ptcp,1.0,0.9962357858117263,4.866,0.0,0.866,2026086658,5,300,3000,5,0.5,0.1,0.05,mixed,0.8
ptcp_randomized,1.0,0.9962357858117263,4.866,0.0,0.866,2026086658,5,300,3000,5,0.5,0.1,0.05,mixed,0.8
majority_cp,0.9346666666666666,0.8373959930476113,2.6633333333333336,0.173,0.0,2026086659,5,300,3000,5,0.5,0.1,0.05,mixed,0.8
random_rater_cp,0.9643333333333334,0.8829713260937759,2.888,0.12433333333333334,0.0,2026086659,5,300,3000,5,0.5,0.1,0.05,mixed,0.8
naive_panel_cp,0.9046666666666666,0.7909121604849003,2.462666666666667,0.198,0.0,2026086659,5,300,3000,5,0.5,0.1,0.05,mixed,0.8
ptcp,1.0,0.9950388862017353,4.847666666666667,0.0,0.8476666666666667,2026086659,5,300,3000,5,0.5,0.1,0.05,mixed,0.8
ptcp_randomized,1.0,0.9950388862017353,4.847666666666667,0.0,0.8476666666666667,2026086659,5,300,3000,5,0.5,0.1,0.05,mixed,0.8
majority_cp,0.9393333333333334,0.8466913807326654,2.6883333333333335,0.169,0.0,2026086660,5,300,3000,5,0.5,0.1,0.05,mixed,0.8
random_rater_cp,0.9733333333333334,0.9061862336904044,3.0193333333333334,0.10266666666666667,0.0,2026086660,5,300,3000,5,0.5,0.1,0.05,mixed,0.8
naive_panel_cp,0.9296666666666666,0.8280299042992441,2.594,0.18566666666666667,0.0,2026086660,5,300,3000,5,0.5,0.1,0.05,mixed,0.8
ptcp,1.0,0.995983067196857,4.868,0.0,0.868,2026086660,5,300,3000,5,0.5,0.1,0.05,mixed,0.8
ptcp_randomized,1.0,0.995983067196857,4.868,0.0,0.868,2026086660,5,300,3000,5,0.5,0.1,0.05,mixed,0.8
majority_cp,0.951,0.8608439858400849,2.7866666666666666,0.14733333333333334,0.0,2026086661,5,300,3000,5,0.5,0.1,0.05,mixed,0.8
random_rater_cp,0.982,0.9177196214422074,3.1133333333333333,0.084,0.0,2026086661,5,300,3000,5,0.5,0.1,0.05,mixed,0.8
naive_panel_cp,0.9406666666666667,0.8427918515545534,2.6976666666666667,0.16533333333333333,0.0,2026086661,5,300,3000,5,0.5,0.1,0.05,mixed,0.8
ptcp,1.0,0.994755834201048,4.857666666666667,0.0,0.8576666666666667,2026086661,5,300,3000,5,0.5,0.1,0.05,mixed,0.8
ptcp_randomized,1.0,0.994755834201048,4.857666666666667,0.0,0.8576666666666667,2026086661,5,300,3000,5,0.5,0.1,0.05,mixed,0.8
majority_cp,0.9473333333333334,0.8550154790290108,2.7596666666666665,0.14366666666666666,0.0,2026086662,5,300,3000,5,0.5,0.1,0.05,mixed,0.8
random_rater_cp,0.9836666666666667,0.9241837349223764,3.1946666666666665,0.061,0.0,2026086662,5,300,3000,5,0.5,0.1,0.05,mixed,0.8
naive_panel_cp,0.9326666666666666,0.8284457251381012,2.6346666666666665,0.168,0.0,2026086662,5,300,3000,5,0.5,0.1,0.05,mixed,0.8
ptcp,1.0,0.9954741631033187,4.864333333333334,0.0,0.8643333333333333,2026086662,5,300,3000,5,0.5,0.1,0.05,mixed,0.8
ptcp_randomized,1.0,0.9954741631033187,4.864333333333334,0.0,0.8643333333333333,2026086662,5,300,3000,5,0.5,0.1,0.05,mixed,0.8
majority_cp,0.944,0.857180563870574,2.781,0.13933333333333334,0.0,2026086663,5,300,3000,5,0.5,0.1,0.05,mixed,0.8
random_rater_cp,0.968,0.8964116391501193,2.988,0.10366666666666667,0.0,2026086663,5,300,3000,5,0.5,0.1,0.05,mixed,0.8
naive_panel_cp,0.9313333333333333,0.8348186696701996,2.675333333333333,0.159,0.0,2026086663,5,300,3000,5,0.5,0.1,0.05,mixed,0.8
ptcp,1.0,0.9948141148750783,4.865,0.0,0.865,2026086663,5,300,3000,5,0.5,0.1,0.05,mixed,0.8
ptcp_randomized,1.0,0.9948141148750783,4.865,0.0,0.865,2026086663,5,300,3000,5,0.5,0.1,0.05,mixed,0.8
majority_cp,0.961,0.8777395389574588,2.866,0.13133333333333333,0.0,2026086664,5,300,3000,5,0.5,0.1,0.05,mixed,0.8
random_rater_cp,0.9736666666666667,0.9057998236103667,3.0516666666666667,0.08933333333333333,0.0,2026086664,5,300,3000,5,0.5,0.1,0.05,mixed,0.8
naive_panel_cp,0.922,0.8116384654285601,2.5483333333333333,0.18333333333333332,0.0,2026086664,5,300,3000,5,0.5,0.1,0.05,mixed,0.8
ptcp,1.0,0.995060283748168,4.857333333333333,0.0,0.8573333333333333,2026086664,5,300,3000,5,0.5,0.1,0.05,mixed,0.8
ptcp_randomized,1.0,0.995060283748168,4.857333333333333,0.0,0.8573333333333333,2026086664,5,300,3000,5,0.5,0.1,0.05,mixed,0.8
majority_cp,0.967,0.8972256102165383,2.9856666666666665,0.10033333333333333,0.0,2026086665,5,300,3000,5,0.5,0.1,0.05,mixed,0.8
random_rater_cp,0.974,0.9085586334081927,3.058333333333333,0.08733333333333333,0.0,2026086665,5,300,3000,5,0.5,0.1,0.05,mixed,0.8
naive_panel_cp,0.9196666666666666,0.8162581913061584,2.583,0.16433333333333333,0.0,2026086665,5,300,3000,5,0.5,0.1,0.05,mixed,0.8
ptcp,1.0,0.9946989035229217,4.854333333333333,0.0,0.8543333333333333,2026086665,5,300,3000,5,0.5,0.1,0.05,mixed,0.8
ptcp_randomized,1.0,0.9946989035229217,4.854333333333333,0.0,0.8543333333333333,2026086665,5,300,3000,5,0.5,0.1,0.05,mixed,0.8
majority_cp,0.962,0.8805575742086367,2.9356666666666666,0.11966666666666667,0.0,2026086666,5,300,3000,5,0.5,0.1,0.05,mixed,0.8
random_rater_cp,0.9726666666666667,0.899956442409239,3.048,0.09533333333333334,0.0,2026086666,5,300,3000,5,0.5,0.1,0.05,mixed,0.8
naive_panel_cp,0.952,0.8645280552908263,2.8513333333333333,0.13433333333333333,0.0,2026086666,5,300,3000,5,0.5,0.1,0.05,mixed,0.8
ptcp,1.0,0.9952370821620916,4.8646666666666665,0.0,0.8646666666666667,2026086666,5,300,3000,5,0.5,0.1,0.05,mixed,0.8
ptcp_randomized,1.0,0.9952370821620916,4.8646666666666665,0.0,0.8646666666666667,2026086666,5,300,3000,5,0.5,0.1,0.05,mixed,0.8
majority_cp,0.9196666666666666,0.7981887873612226,2.4843333333333333,0.19066666666666668,0.0,2026086667,5,300,3000,5,0.5,0.1,0.05,mixed,0.8
random_rater_cp,0.9583333333333334,0.8703850565499706,2.8406666666666665,0.13133333333333333,0.0,2026086667,5,300,3000,5,0.5,0.1,0.05,mixed,0.8
naive_panel_cp,0.9106666666666666,0.7834092451739488,2.4196666666666666,0.20066666666666666,0.0,2026086667,5,300,3000,5,0.5,0.1,0.05,mixed,0.8
ptcp,1.0,0.9948518405184555,4.8566666666666665,0.0,0.8566666666666667,2026086667,5,300,3000,5,0.5,0.1,0.05,mixed,0.8
ptcp_randomized,1.0,0.9948518405184555,4.8566666666666665,0.0,0.8566666666666667,2026086667,5,300,3000,5,0.5,0.1,0.05,mixed,0.8
majority_cp,0.95,0.8586126760670362,2.78,0.151,0.0,2026086668,5,300,3000,5,0.5,0.1,0.05,mixed,0.8
random_rater_cp,0.9516666666666667,0.8618999718781857,2.796666666666667,0.14766666666666667,0.0,2026086668,5,300,3000,5,0.5,0.1,0.05,mixed,0.8
naive_panel_cp,0.933,0.8273881410684436,2.6216666666666666,0.181,0.0,2026086668,5,300,3000,5,0.5,0.1,0.05,mixed,0.8
ptcp,1.0,0.9952463446674986,4.859,0.0,0.859,2026086668,5,300,3000,5,0.5,0.1,0.05,mixed,0.8
ptcp_randomized,1.0,0.9952463446674986,4.859,0.0,0.859,2026086668,5,300,3000,5,0.5,0.1,0.05,mixed,0.8
majority_cp,0.9706666666666667,0.8963670911542986,3.0063333333333335,0.09733333333333333,0.0,2026086669,5,300,3000,5,0.5,0.1,0.05,mixed,0.8
random_rater_cp,0.982,0.9168606695409957,3.1353333333333335,0.06866666666666667,0.0,2026086669,5,300,3000,5,0.5,0.1,0.05,mixed,0.8
naive_panel_cp,0.9236666666666666,0.8121402448286326,2.562666666666667,0.16966666666666666,0.0,2026086669,5,300,3000,5,0.5,0.1,0.05,mixed,0.8
ptcp,1.0,0.9952790882324805,4.857,0.0,0.857,2026086669,5,300,3000,5,0.5,0.1,0.05,mixed,0.8
ptcp_randomized,1.0,0.9952790882324805,4.857,0.0,0.857,2026086669,5,300,3000,5,0.5,0.1,0.05,mixed,0.8
majority_cp,0.936,0.8415658960308243,2.7,0.15366666666666667,0.0,2026086670,5,300,3000,5,0.5,0.1,0.05,mixed,0.8
random_rater_cp,0.9683333333333334,0.895570015804401,2.974666666666667,0.11,0.0,2026086670,5,300,3000,5,0.5,0.1,0.05,mixed,0.8
naive_panel_cp,0.9333333333333333,0.8364709632933451,2.6723333333333334,0.158,0.0,2026086670,5,300,3000,5,0.5,0.1,0.05,mixed,0.8
ptcp,1.0,0.9958377931398097,4.856333333333334,0.0,0.8563333333333333,2026086670,5,300,3000,5,0.5,0.1,0.05,mixed,0.8
ptcp_randomized,1.0,0.9958377931398097,4.856333333333334,0.0,0.8563333333333333,2026086670,5,300,3000,5,0.5,0.1,0.05,mixed,0.8
majority_cp,0.976,0.9015012959658,2.9796666666666667,0.105,0.0,2026086671,5,300,3000,5,0.5,0.1,0.05,mixed,0.8
random_rater_cp,0.9893333333333333,0.9291394171580173,3.205,0.06166666666666667,0.0,2026086671,5,300,3000,5,0.5,0.1,0.05,mixed,0.8
naive_panel_cp,0.9463333333333334,0.8539155121912126,2.7236666666666665,0.153,0.0,2026086671,5,300,3000,5,0.5,0.1,0.05,mixed,0.8
ptcp,1.0,0.9955065138971864,4.868666666666667,0.0,0.8686666666666667,2026086671,5,300,3000,5,0.5,0.1,0.05,mixed,0.8
ptcp_randomized,1.0,0.9955065138971864,4.868666666666667,0.0,0.8686666666666667,2026086671,5,300,3000,5,0.5,0.1,0.05,mixed,0.8
majority_cp,0.8956666666666667,0.7719478403759282,2.3853333333333335,0.20066666666666666,0.0,2026086672,5,300,3000,5,0.5,0.1,0.05,mixed,0.8
random_rater_cp,0.9773333333333334,0.9132315878275473,3.1016666666666666,0.07466666666666667,0.0,2026086672,5,300,3000,5,0.5,0.1,0.05,mixed,0.8
naive_panel_cp,0.8743333333333333,0.7408276539647041,2.252,0.21933333333333332,0.0,2026086672,5,300,3000,5,0.5,0.1,0.05,mixed,0.8
ptcp,0.9996666666666667,0.9952224927364759,4.861666666666666,0.0,0.8616666666666667,2026086672,5,300,3000,5,0.5,0.1,0.05,mixed,0.8
ptcp_randomized,0.9996666666666667,0.9952224927364759,4.861666666666666,0.0,0.8616666666666667,2026086672,5,300,3000,5,0.5,0.1,0.05,mixed,0.8
majority_cp,0.93,0.8201918038216032,2.605,0.16666666666666666,0.0,2026086673,5,300,3000,5,0.5,0.1,0.05,mixed,0.8
random_rater_cp,0.9633333333333334,0.8771592578382703,2.8796666666666666,0.126,0.0,2026086673,5,300,3000,5,0.5,0.1,0.05,mixed,0.8
naive_panel_cp,0.9193333333333333,0.8056714705176021,2.541,0.17666666666666667,0.0,2026086673,5,300,3000,5,0.5,0.1,0.05,mixed,0.8
ptcp,1.0,0.9952951337891806,4.8693333333333335,0.0,0.8693333333333333,2026086673,5,300,3000,5,0.5,0.1,0.05,mixed,0.8
ptcp_randomized,1.0,0.9952951337891806,4.8693333333333335,0.0,0.8693333333333333,2026086673,5,300,3000,5,0.5,0.1,0.05,mixed,0.8
majority_cp,0.9706666666666667,0.8912052816766669,2.9673333333333334,0.11033333333333334,0.0,2026086674,5,300,3000,5,0.5,0.1,0.05,mixed,0.8
random_rater_cp,0.977,0.9048957433544065,3.066333333333333,0.09066666666666667,0.0,2026086674,5,300,3000,5,0.5,0.1,0.05,mixed,0.8
naive_panel_cp,0.95,0.8532663075903298,2.7623333333333333,0.14933333333333335,0.0,2026086674,5,300,3000,5,0.5,0.1,0.05,mixed,0.8
ptcp,1.0,0.9951968797981023,4.855,0.0,0.855,2026086674,5,300,3000,5,0.5,0.1,0.05,mixed,0.8
ptcp_randomized,1.0,0.9951968797981023,4.855,0.0,0.855,2026086674,5,300,3000,5,0.5,0.1,0.05,mixed,0.8
majority_cp,0.946,0.8522699751329689,2.7396666666666665,0.15033333333333335,0.0,2026086675,5,300,3000,5,0.5,0.1,0.05,mixed,0.8
random_rater_cp,0.9726666666666667,0.9017510298009509,3.0233333333333334,0.099,0.0,2026086675,5,300,3000,5,0.5,0.1,0.05,mixed,0.8
naive_panel_cp,0.9116666666666666,0.794951531223372,2.481333333333333,0.19033333333333333,0.0,2026086675,5,300,3000,5,0.5,0.1,0.05,mixed,0.8
ptcp,1.0,0.9950130308629119,4.858666666666666,0.0,0.8586666666666667,2026086675,5,300,3000,5,0.5,0.1,0.05,mixed,0.8
ptcp_randomized,1.0,0.9950130308629119,4.858666666666666,0.0,0.8586666666666667,2026086675,5,300,3000,5,0.5,0.1,0.05,mixed,0.8
majority_cp,0.959,0.8739483854965593,2.8503333333333334,0.129,0.0,2026086676,5,300,3000,5,0.5,0.1,0.05,mixed,0.8
random_rater_cp,0.9646666666666667,0.8863527256364936,2.9366666666666665,0.11066666666666666,0.0,2026086676,5,300,3000,5,0.5,0.1,0.05,mixed,0.8
naive_panel_cp,0.9476666666666667,0.8547874092799893,2.7476666666666665,0.145,0.0,2026086676,5,300,3000,5,0.5,0.1,0.05,mixed,0.8
ptcp,1.0,0.9946792539949663,4.849,0.0,0.849,2026086676,5,300,3000,5,0.5,0.1,0.05,mixed,0.8
ptcp_randomized,1.0,0.9946792539949663,4.849,0.0,0.849,2026086676,5,300,3000,5,0.5,0.1,0.05,mixed,0.8
majority_cp,0.9396666666666667,0.8508854350517997,2.773,0.144,0.0,2026086677,5,300,3000,5,0.5,0.1,0.05,mixed,0.8
random_rater_cp,0.97,0.9039985566621113,3.0683333333333334,0.08933333333333333,0.0,2026086677,5,300,3000,5,0.5,0.1,0.05,mixed,0.8
naive_panel_cp,0.929,0.829544142684515,2.6626666666666665,0.16033333333333333,0.0,2026086677,5,300,3000,5,0.5,0.1,0.05,mixed,0.8
ptcp,1.0,0.9952556861376828,4.854666666666667,0.0,0.8546666666666667,2026086677,5,300,3000,5,0.5,0.1,0.05,mixed,0.8
ptcp_randomized,1.0,0.9952556861376828,4.854666666666667,0.0,0.8546666666666667,2026086677,5,300,3000,5,0.5,0.1,0.05,mixed,0.8
majority_cp,0.959,0.8815666635881593,2.9116666666666666,0.11533333333333333,0.0,2026086678,5,300,3000,5,0.5,0.1,0.05,mixed,0.8
random_rater_cp,0.975,0.9082283157994832,3.0683333333333334,0.09,0.0,2026086678,5,300,3000,5,0.5,0.1,0.05,mixed,0.8
naive_panel_cp,0.9413333333333334,0.850015845067645,2.7426666666666666,0.15,0.0,2026086678,5,300,3000,5,0.5,0.1,0.05,mixed,0.8
ptcp,0.9996666666666667,0.9956265935414558,4.868,0.0,0.868,2026086678,5,300,3000,5,0.5,0.1,0.05,mixed,0.8
ptcp_randomized,0.9996666666666667,0.9956265935414558,4.868,0.0,0.868,2026086678,5,300,3000,5,0.5,0.1,0.05,mixed,0.8
majority_cp,0.9503333333333334,0.8680980761572822,2.841,0.12666666666666668,0.0,2026086679,5,300,3000,5,0.5,0.1,0.05,mixed,0.8
random_rater_cp,0.971,0.901736604701811,3.02,0.09466666666666666,0.0,2026086679,5,300,3000,5,0.5,0.1,0.05,mixed,0.8
naive_panel_cp,0.934,0.8440842924482439,2.731333333333333,0.15066666666666667,0.0,2026086679,5,300,3000,5,0.5,0.1,0.05,mixed,0.8
ptcp,1.0,0.9949641744808679,4.858,0.0,0.858,2026086679,5,300,3000,5,0.5,0.1,0.05,mixed,0.8
ptcp_randomized,1.0,0.9949641744808679,4.858,0.0,0.858,2026086679,5,300,3000,5,0.5,0.1,0.05,mixed,0.8
majority_cp,0.9573333333333334,0.8708016615506737,2.839,0.12933333333333333,0.0,2026086680,5,300,3000,5,0.5,0.1,0.05,mixed,0.8
random_rater_cp,0.9806666666666667,0.9127969906407337,3.1006666666666667,0.083,0.0,2026086680,5,300,3000,5,0.5,0.1,0.05,mixed,0.8
naive_panel_cp,0.9376666666666666,0.8381596696855655,2.683333333333333,0.16033333333333333,0.0,2026086680,5,300,3000,5,0.5,0.1,0.05,mixed,0.8
ptcp,1.0,0.9952889244052895,4.861,0.0,0.861,2026086680,5,300,3000,5,0.5,0.1,0.05,mixed,0.8
ptcp_randomized,1.0,0.9952889244052895,4.861,0.0,0.861,2026086680,5,300,3000,5,0.5,0.1,0.05,mixed,0.8
majority_cp,0.9553333333333334,0.862863663649486,2.792,0.14266666666666666,0.0,2026086681,5,300,3000,5,0.5,0.1,0.05,mixed,0.8
random_rater_cp,0.9556666666666667,0.8636497063427568,2.7986666666666666,0.141,0.0,2026086681,5,300,3000,5,0.5,0.1,0.05,mixed,0.8
naive_panel_cp,0.942,0.8409973464883758,2.6856666666666666,0.16333333333333333,0.0,2026086681,5,300,3000,5,0.5,0.1,0.05,mixed,0.8
ptcp,1.0,0.994949306332283,4.847333333333333,0.0,0.8473333333333334,2026086681,5,300,3000,5,0.5,0.1,0.05,mixed,0.8
ptcp_randomized,1.0,0.994949306332283,4.847333333333333,0.0,0.8473333333333334,2026086681,5,300,3000,5,0.5,0.1,0.05,mixed,0.8
majority_cp,0.9293333333333333,0.8234833480211298,2.5676666666666668,0.18233333333333332,0.0,2026086682,5,300,3000,5,0.5,0.1,0.05,mixed,0.8
random_rater_cp,0.9776666666666667,0.9076653577821784,3.0123333333333333,0.09566666666666666,0.0,2026086682,5,300,3000,5,0.5,0.1,0.05,mixed,0.8
naive_panel_cp,0.9093333333333333,0.7853969553981239,2.3953333333333333,0.20266666666666666,0.0,2026086682,5,300,3000,5,0.5,0.1,0.05,mixed,0.8
ptcp,1.0,0.9953262233698056,4.863666666666667,0.0,0.8636666666666667,2026086682,5,300,3000,5,0.5,0.1,0.05,mixed,0.8
ptcp_randomized,1.0,0.9953262233698056,4.863666666666667,0.0,0.8636666666666667,2026086682,5,300,3000,5,0.5,0.1,0.05,mixed,0.8
majority_cp,0.9593333333333334,0.8824003728457283,2.929,0.11166666666666666,0.0,2026086683,5,300,3000,5,0.5,0.1,0.05,mixed,0.8
random_rater_cp,0.979,0.9183279076319268,3.1536666666666666,0.07433333333333333,0.0,2026086683,5,300,3000,5,0.5,0.1,0.05,mixed,0.8
